"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2025","4.2736","4.2611","4.3056","4.2469","","0.29%"
"07/15/2025","4.2611","4.2844","4.2951","4.2578","","-0.55%"
"07/14/2025","4.2845","4.2939","4.2968","4.2792","","-0.22%"
"07/11/2025","4.2938","4.2977","4.3027","4.2839","","-0.09%"
"07/10/2025","4.2976","4.3037","4.3154","4.2835","","-0.17%"
"07/09/2025","4.3051","4.3069","4.3081","4.2936","","-0.03%"
"07/08/2025","4.3066","4.3005","4.3215","4.2910","","0.14%"
"07/07/2025","4.3005","4.3265","4.3311","4.2927","","-0.61%"
"07/04/2025","4.3267","4.3184","4.3300","4.3164","","0.20%"
"07/03/2025","4.3182","4.3337","4.3381","4.3042","","-0.36%"
"07/02/2025","4.3337","4.3366","4.3376","4.3148","","-0.07%"
"07/01/2025","4.3366","4.3289","4.3454","4.3195","","0.17%"
"06/30/2025","4.3291","4.3023","4.3296","4.2989","","0.58%"
"06/27/2025","4.3043","4.2971","4.3172","4.2898","","0.17%"
"06/26/2025","4.2970","4.2818","4.3135","4.2799","","0.35%"
"06/25/2025","4.2820","4.2635","4.2842","4.2564","","0.43%"
"06/24/2025","4.2635","4.2517","4.2755","4.2506","","0.28%"
"06/23/2025","4.2517","4.2160","4.2535","4.2059","","0.48%"
"06/20/2025","4.2314","4.2215","4.2394","4.2196","","0.24%"
"06/19/2025","4.2214","4.2164","4.2235","4.2034","","0.12%"
"06/18/2025","4.2164","4.2162","4.2346","4.2090","","0.00%"
"06/17/2025","4.2162","4.2461","4.2522","4.2140","","-0.70%"
"06/16/2025","4.2461","4.2349","4.2658","4.2319","","0.07%"
"06/13/2025","4.2432","4.2545","4.2658","4.2191","","-0.28%"
"06/12/2025","4.2552","4.2189","4.2718","4.2183","","0.85%"
"06/11/2025","4.2195","4.1960","4.2239","4.1887","","0.56%"
"06/10/2025","4.1960","4.1950","4.2046","4.1769","","0.02%"
"06/09/2025","4.1953","4.1850","4.2016","4.1819","","0.24%"
"06/06/2025","4.1854","4.2036","4.2081","4.1763","","-0.44%"
"06/05/2025","4.2037","4.1937","4.2222","4.1885","","0.24%"
"06/04/2025","4.1937","4.1767","4.2003","4.1714","","0.41%"
"06/03/2025","4.1765","4.2022","4.2072","4.1737","","-0.62%"
"06/02/2025","4.2026","4.1659","4.2059","4.1657","","0.83%"
"05/30/2025","4.1681","4.1770","4.1833","4.1552","","-0.21%"
"05/29/2025","4.1770","4.1479","4.1817","4.1170","","0.70%"
"05/28/2025","4.1480","4.1610","4.1672","4.1441","","-0.31%"
"05/27/2025","4.1611","4.1827","4.1903","4.1587","","-0.52%"
"05/26/2025","4.1827","4.1746","4.1945","4.1724","","0.20%"
"05/23/2025","4.1743","4.1434","4.1782","4.1427","","0.75%"
"05/22/2025","4.1434","4.1623","4.1673","4.1340","","-0.44%"
"05/21/2025","4.1618","4.1443","4.1736","4.1432","","0.42%"
"05/20/2025","4.1442","4.1298","4.1455","4.1201","","0.35%"
"05/19/2025","4.1297","4.1026","4.1465","4.1022","","0.71%"
"05/16/2025","4.1005","4.1095","4.1212","4.0882","","-0.22%"
"05/15/2025","4.1097","4.1046","4.1244","4.1028","","0.12%"
"05/14/2025","4.1046","4.1084","4.1380","4.1008","","-0.09%"
"05/13/2025","4.1085","4.0725","4.1120","4.0712","","0.88%"
"05/12/2025","4.0725","4.1206","4.1297","4.0642","","-1.43%"
"05/09/2025","4.1314","4.1241","4.1480","4.1122","","0.18%"
"05/08/2025","4.1240","4.1506","4.1642","4.1180","","-0.67%"
"05/07/2025","4.1518","4.1765","4.1796","4.1476","","-0.59%"
"05/06/2025","4.1765","4.1559","4.1805","4.1430","","0.50%"
"05/05/2025","4.1559","4.1490","4.1745","4.1474","","0.16%"
"05/02/2025","4.1491","4.1478","4.1805","4.1408","","0.03%"
"05/01/2025","4.1478","4.1610","4.1659","4.1381","","-0.32%"
"04/30/2025","4.1610","4.1820","4.1873","4.1568","","-0.50%"
"04/29/2025","4.1820","4.1953","4.1958","4.1763","","-0.32%"
"04/28/2025","4.1954","4.1756","4.1965","4.1611","","0.50%"
"04/25/2025","4.1745","4.1835","4.1854","4.1561","","-0.22%"
"04/24/2025","4.1835","4.1561","4.1867","4.1555","","0.66%"
"04/23/2025","4.1561","4.1954","4.2024","4.1534","","-0.92%"
"04/22/2025","4.1949","4.2294","4.2417","4.1936","","-0.79%"
"04/21/2025","4.2282","4.1824","4.2512","4.1823","","1.06%"
"04/18/2025","4.1838","4.1743","4.1869","4.1719","","0.25%"
"04/17/2025","4.1735","4.1868","4.1910","4.1634","","-0.31%"
"04/16/2025","4.1864","4.1443","4.1921","4.1434","","1.04%"
"04/15/2025","4.1434","4.1688","4.1796","4.1374","","-0.59%"
"04/14/2025","4.1680","4.1461","4.1965","4.1447","","-0.11%"
"04/11/2025","4.1724","4.1133","4.2147","4.1098","","1.46%"
"04/10/2025","4.1125","4.0226","4.1290","4.0192","","2.25%"
"04/09/2025","4.0222","4.0245","4.0756","4.0085","","-0.04%"
"04/08/2025","4.0240","4.0052","4.0378","3.9991","","0.48%"
"04/07/2025","4.0049","4.0242","4.0591","3.9975","","-0.47%"
"04/04/2025","4.0237","4.0595","4.0802","4.0125","","-0.86%"
"04/03/2025","4.0586","3.9873","4.0939","3.9688","","1.81%"
"04/02/2025","3.9866","3.9646","4.0128","3.9596","","0.57%"
"04/01/2025","3.9642","3.9733","3.9781","3.9585","","-0.22%"
"03/31/2025","3.9730","3.9772","3.9853","3.9611","","-0.09%"
"03/28/2025","3.9764","3.9675","3.9834","3.9539","","0.23%"
"03/27/2025","3.9671","3.9498","3.9748","3.9421","","0.46%"
"03/26/2025","3.9491","3.9636","3.9680","3.9463","","-0.36%"
"03/25/2025","3.9634","3.9674","3.9785","3.9581","","-0.08%"
"03/24/2025","3.9667","3.9725","3.9887","3.9600","","-0.13%"
"03/21/2025","3.9717","3.9862","3.9894","3.9657","","-0.34%"
"03/20/2025","3.9851","4.0044","4.0101","3.9723","","-0.46%"
"03/19/2025","4.0035","4.0198","4.0209","3.9891","","-0.38%"
"03/18/2025","4.0189","4.0117","4.0238","4.0004","","0.21%"
"03/17/2025","4.0105","3.9961","4.0143","3.9915","","0.38%"
"03/14/2025","3.9952","3.9859","4.0080","3.9776","","0.25%"
"03/13/2025","3.9852","3.9990","4.0026","3.9745","","-0.32%"
"03/12/2025","3.9979","4.0101","4.0151","3.9939","","-0.29%"
"03/11/2025","4.0097","3.9790","4.0208","3.9773","","0.79%"
"03/10/2025","3.9782","3.9789","3.9942","3.9685","","0.00%"
"03/07/2025","3.9781","3.9608","3.9994","3.9597","","0.46%"
"03/06/2025","3.9598","3.9631","3.9865","3.9538","","-0.06%"
"03/05/2025","3.9620","3.9029","3.9655","3.8937","","1.54%"
"03/04/2025","3.9018","3.8516","3.9035","3.8456","","1.32%"
"03/03/2025","3.8509","3.8108","3.8578","3.8108","","1.07%"
"02/28/2025","3.8103","3.8193","3.8274","3.8050","","-0.21%"
"02/27/2025","3.8184","3.8505","3.8539","3.8186","","-0.82%"
"02/26/2025","3.8498","3.8614","3.8672","3.8471","","-0.29%"
"02/25/2025","3.8609","3.8447","3.8635","3.8403","","0.44%"
"02/24/2025","3.8440","3.8416","3.8673","3.8392","","0.08%"
"02/21/2025","3.8411","3.8570","3.8591","3.8375","","-0.39%"
"02/20/2025","3.8563","3.8280","3.8581","3.8266","","0.76%"
"02/19/2025","3.8273","3.8370","3.8428","3.8201","","-0.23%"
"02/18/2025","3.8362","3.8510","3.8521","3.8328","","-0.35%"
"02/17/2025","3.8498","3.8526","3.8593","3.8444","","-0.09%"
"02/14/2025","3.8532","3.8437","3.8620","3.8370","","0.26%"
"02/13/2025","3.8433","3.8152","3.8447","3.8100","","0.79%"
"02/12/2025","3.8131","3.8056","3.8310","3.7893","","0.21%"
"02/11/2025","3.8051","3.7858","3.8131","3.7803","","0.53%"
"02/10/2025","3.7852","3.7932","3.7967","3.7758","","-0.21%"
"02/07/2025","3.7930","3.8135","3.8239","3.7849","","-0.52%"
"02/06/2025","3.8128","3.8206","3.8222","3.8020","","-0.20%"
"02/05/2025","3.8203","3.8122","3.8359","3.8088","","0.24%"
"02/04/2025","3.8112","3.7996","3.8154","3.7729","","0.32%"
"02/03/2025","3.7992","3.8066","3.8068","3.7505","","-0.17%"
"01/31/2025","3.8057","3.8164","3.8328","3.8017","","-0.26%"
"01/30/2025","3.8158","3.8275","3.8449","3.8148","","-0.30%"
"01/29/2025","3.8272","3.8310","3.8363","3.8133","","-0.07%"
"01/28/2025","3.8298","3.8539","3.8546","3.8250","","-0.60%"
"01/27/2025","3.8531","3.8543","3.8688","3.8395","","-0.02%"
"01/24/2025","3.8539","3.8259","3.8650","3.8242","","0.75%"
"01/23/2025","3.8251","3.8231","3.8340","3.8096","","0.07%"
"01/22/2025","3.8223","3.8308","3.8410","3.8172","","-0.21%"
"01/21/2025","3.8304","3.8260","3.8331","3.7986","","0.15%"
"01/20/2025","3.8247","3.7744","3.8328","3.7707","","1.39%"
"01/17/2025","3.7721","3.7829","3.7946","3.7704","","-0.27%"
"01/16/2025","3.7824","3.7791","3.7887","3.7688","","0.09%"
"01/15/2025","3.7789","3.7861","3.8029","3.7682","","-0.17%"
"01/14/2025","3.7852","3.7630","3.7866","3.7604","","0.61%"
"01/13/2025","3.7623","3.7615","3.7651","3.7382","","0.01%"
"01/10/2025","3.7620","3.7831","3.7878","3.7522","","-0.54%"
"01/09/2025","3.7824","3.7902","3.7913","3.7772","","-0.19%"
"01/08/2025","3.7895","3.7979","3.8046","3.7734","","-0.20%"
"01/07/2025","3.7972","3.8166","3.8331","3.7977","","-0.49%"
"01/06/2025","3.8159","3.7843","3.8337","3.7813","","0.79%"
"01/03/2025","3.7859","3.7701","3.7869","3.7678","","0.42%"
"01/02/2025","3.7699","3.8029","3.8110","3.7555","","-0.87%"
"01/01/2025","3.8030","3.8029","3.8052","3.8014","","0.02%"
"12/31/2024","3.8022","3.8224","3.8290","3.7994","","-0.52%"
"12/30/2024","3.8221","3.8319","3.8413","3.8095","","-0.20%"
"12/27/2024","3.8297","3.8284","3.8362","3.8216","","0.05%"
"12/26/2024","3.8277","3.8206","3.8310","3.8159","","0.18%"
"12/25/2024","3.8210","3.8191","3.8254","3.8188","","0.07%"
"12/24/2024","3.8184","3.8217","3.8240","3.8136","","-0.08%"
"12/23/2024","3.8213","3.8290","3.8372","3.8138","","-0.23%"
"12/20/2024","3.8302","3.8063","3.8373","3.7987","","0.65%"
"12/19/2024","3.8055","3.8026","3.8284","3.8005","","0.09%"
"12/18/2024","3.8019","3.8537","3.8617","3.7994","","-1.31%"
"12/17/2024","3.8524","3.8611","3.8695","3.8487","","-0.19%"
"12/16/2024","3.8599","3.8556","3.8661","3.8470","","0.08%"
"12/13/2024","3.8568","3.8449","3.8658","3.8391","","0.33%"
"12/12/2024","3.8441","3.8551","3.8679","3.8433","","-0.25%"
"12/11/2024","3.8536","3.8668","3.8714","3.8492","","-0.32%"
"12/10/2024","3.8658","3.8763","3.8818","3.8561","","-0.25%"
"12/09/2024","3.8753","3.8798","3.8914","3.8684","","-0.16%"
"12/06/2024","3.8814","3.8886","3.9045","3.8723","","-0.17%"
"12/05/2024","3.8880","3.8607","3.8898","3.8593","","0.72%"
"12/04/2024","3.8601","3.8603","3.8734","3.8464","","0.01%"
"12/03/2024","3.8597","3.8561","3.8698","3.8495","","0.11%"
"12/02/2024","3.8554","3.8849","3.8893","3.8420","","-0.74%"
"11/29/2024","3.8841","3.8769","3.8928","3.8717","","0.21%"
"11/28/2024","3.8759","3.8811","3.8826","3.8665","","-0.10%"
"11/27/2024","3.8799","3.8523","3.8890","3.8468","","0.74%"
"11/26/2024","3.8515","3.8545","3.8732","3.8290","","-0.06%"
"11/25/2024","3.8540","3.8456","3.8679","3.8378","","0.70%"
"11/22/2024","3.8272","3.8472","3.8561","3.7957","","-0.50%"
"11/21/2024","3.8465","3.8717","3.8772","3.8427","","-0.66%"
"11/20/2024","3.8720","3.8919","3.8972","3.8596","","-0.50%"
"11/19/2024","3.8914","3.8932","3.8939","3.8654","","-0.02%"
"11/18/2024","3.8921","3.8718","3.8960","3.8674","","0.53%"
"11/15/2024","3.8715","3.8684","3.8907","3.8627","","0.11%"
"11/14/2024","3.8674","3.8801","3.8869","3.8553","","-0.31%"
"11/13/2024","3.8795","3.9018","3.9132","3.8770","","-0.56%"
"11/12/2024","3.9015","3.9139","3.9169","3.8915","","-0.29%"
"11/11/2024","3.9129","3.9351","3.9406","3.9038","","-0.60%"
"11/08/2024","3.9365","3.9690","3.9691","3.9253","","-0.79%"
"11/07/2024","3.9680","3.9407","3.9762","3.9347","","0.71%"
"11/06/2024","3.9401","4.0150","4.0174","3.9235","","-1.85%"
"11/05/2024","4.0144","3.9953","4.0170","3.9931","","0.49%"
"11/04/2024","3.9948","3.9936","4.0092","3.9927","","0.41%"
"11/01/2024","3.9786","3.9976","4.0056","3.9785","","-0.46%"
"10/31/2024","3.9971","3.9876","3.9994","3.9829","","0.25%"
"10/30/2024","3.9872","3.9736","3.9931","3.9698","","0.35%"
"10/29/2024","3.9731","3.9715","3.9766","3.9555","","0.06%"
"10/28/2024","3.9709","3.9657","3.9771","3.9597","","0.18%"
"10/25/2024","3.9639","3.9769","3.9815","3.9644","","-0.31%"
"10/24/2024","3.9764","3.9605","3.9778","3.9554","","0.43%"
"10/23/2024","3.9595","3.9666","3.9695","3.9525","","-0.15%"
"10/22/2024","3.9654","3.9725","3.9811","3.9639","","-0.17%"
"10/21/2024","3.9720","3.9892","3.9935","3.9709","","-0.47%"
"10/18/2024","3.9906","3.9785","3.9924","3.9760","","0.32%"
"10/17/2024","3.9780","3.9897","3.9938","3.9709","","-0.27%"
"10/16/2024","3.9889","4.0002","4.0041","3.9866","","-0.26%"
"10/15/2024","3.9994","4.0072","4.0100","3.9968","","-0.18%"
"10/14/2024","4.0067","4.0156","4.0174","3.9994","","-0.25%"
"10/11/2024","4.0167","4.0166","4.0235","4.0131","","0.02%"
"10/10/2024","4.0159","4.0180","4.0241","4.0034","","-0.04%"
"10/09/2024","4.0175","4.0335","4.0336","4.0170","","-0.37%"
"10/08/2024","4.0325","4.0314","4.0395","4.0260","","0.05%"
"10/07/2024","4.0305","4.0314","4.0356","4.0238","","-0.02%"
"10/04/2024","4.0313","4.0521","4.0552","4.0224","","-0.48%"
"10/03/2024","4.0509","4.0570","4.0588","4.0430","","-0.14%"
"10/02/2024","4.0566","4.0651","4.0711","4.0524","","-0.21%"
"10/01/2024","4.0651","4.0897","4.0935","4.0568","","-0.59%"
"09/30/2024","4.0893","4.0986","4.1171","4.0820","","-0.26%"
"09/27/2024","4.0998","4.1051","4.1149","4.0861","","-0.12%"
"09/26/2024","4.1046","4.0891","4.1099","4.0864","","0.39%"
"09/25/2024","4.0886","4.1066","4.1189","4.0848","","-0.43%"
"09/24/2024","4.1061","4.0816","4.1069","4.0779","","0.61%"
"09/23/2024","4.0813","4.0999","4.1017","4.0707","","-0.44%"
"09/20/2024","4.0995","4.0995","4.1073","4.0901","","0.01%"
"09/19/2024","4.0991","4.0838","4.1062","4.0652","","0.39%"
"09/18/2024","4.0833","4.0820","4.1099","4.0755","","0.05%"
"09/17/2024","4.0814","4.0890","4.0943","4.0807","","-0.17%"
"09/16/2024","4.0884","4.0683","4.0908","4.0674","","0.50%"
"09/13/2024","4.0679","4.0676","4.0777","4.0662","","0.02%"
"09/12/2024","4.0671","4.0447","4.0677","4.0420","","0.57%"
