"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2025","1.6207","1.6096","1.6262","1.6090","","0.69%"
"09/04/2025","1.6096","1.6085","1.6120","1.6075","","0.06%"
"09/03/2025","1.6086","1.6044","1.6109","1.6024","","0.26%"
"09/02/2025","1.6045","1.6104","1.6113","1.6012","","-0.37%"
"09/01/2025","1.6104","1.6062","1.6129","1.6052","","0.26%"
"08/29/2025","1.6062","1.6062","1.6081","1.6026","","0.00%"
"08/28/2025","1.6062","1.6050","1.6089","1.6029","","0.07%"
"08/27/2025","1.6050","1.6112","1.6121","1.6027","","-0.38%"
"08/26/2025","1.6111","1.6105","1.6147","1.6085","","0.05%"
"08/25/2025","1.6103","1.6197","1.6217","1.6081","","-0.60%"
"08/22/2025","1.6200","1.6145","1.6229","1.6115","","0.34%"
"08/21/2025","1.6145","1.6165","1.6190","1.6125","","-0.12%"
"08/20/2025","1.6165","1.6151","1.6186","1.6122","","0.08%"
"08/19/2025","1.6152","1.6096","1.6176","1.6080","","0.35%"
"08/18/2025","1.6095","1.6161","1.6189","1.6088","","-0.44%"
"08/15/2025","1.6166","1.6094","1.6177","1.6087","","0.45%"
"08/14/2025","1.6094","1.6106","1.6118","1.6066","","-0.08%"
"08/13/2025","1.6107","1.6079","1.6137","1.6070","","0.18%"
"08/12/2025","1.6078","1.6006","1.6091","1.5987","","0.46%"
"08/11/2025","1.6005","1.6015","1.6055","1.5984","","-0.06%"
"08/08/2025","1.6014","1.6033","1.6048","1.5968","","-0.12%"
"08/07/2025","1.6033","1.6022","1.6059","1.5979","","0.07%"
"08/06/2025","1.6021","1.5940","1.6035","1.5928","","0.49%"
"08/05/2025","1.5943","1.5943","1.5967","1.5892","","0.00%"
"08/04/2025","1.5943","1.5964","1.5989","1.5917","","-0.19%"
"08/01/2025","1.5974","1.5816","1.5987","1.5795","","1.00%"
"07/31/2025","1.5816","1.5771","1.5854","1.5764","","0.28%"
"07/30/2025","1.5772","1.5901","1.5928","1.5768","","-0.80%"
"07/29/2025","1.5899","1.5922","1.5936","1.5850","","-0.14%"
"07/28/2025","1.5922","1.6097","1.6131","1.5905","","-1.04%"
"07/25/2025","1.6089","1.6023","1.6107","1.6003","","0.41%"
"07/24/2025","1.6023","1.6004","1.6064","1.5976","","0.11%"
"07/23/2025","1.6006","1.5990","1.6021","1.5919","","0.08%"
"07/22/2025","1.5993","1.6008","1.6016","1.5972","","-0.06%"
"07/21/2025","1.6003","1.5949","1.6034","1.5939","","0.30%"
"07/18/2025","1.5955","1.5947","1.6000","1.5937","","0.05%"
"07/17/2025","1.5947","1.5921","1.5958","1.5889","","0.16%"
"07/16/2025","1.5921","1.5922","1.6042","1.5896","","0.00%"
"07/15/2025","1.5921","1.5991","1.6016","1.5901","","-0.41%"
"07/14/2025","1.5987","1.6011","1.6036","1.5962","","-0.11%"
